NCBI_GeneID	NCBI_UnigeneID	NCBI_RefSeqID	Affymetrix_probesetID	organism
3356		NM_000621	211616_s_at	human
3356		NM_001165947	207135_at	human
3356		NM_001165947	211616_s_at	human
3357	Hs.421649	NM_000867	206638_at	human
3358	Hs.149037	NM_000868	207307_at	human
3358	Hs.149037	NM_000868	211479_s_at	human
3359	Hs.413899	NM_000869	216615_s_at	human
3359	Hs.413899	NM_000869	217002_s_at	human
3359	Hs.413899	NM_001161772	216615_s_at	human
3359	Hs.413899	NM_001161772	217002_s_at	human
3359	Hs.413899	NM_213621	216615_s_at	human
3359	Hs.413899	NM_213621	217002_s_at	human
3360	Hs.483773	NM_000870	207577_at	human
3360	Hs.483773	NM_000870	207578_s_at	human
3360	Hs.483773	NM_001040169	216939_s_at	human
3360	Hs.483773	NM_001040171		human
3360	Hs.483773	NM_001040172		human
3360	Hs.483773	NM_001040173	207577_at	human
3360	Hs.483773	NM_001040173	207578_s_at	human
3360	Hs.483773	NM_001040174		human
3360	Hs.483773	NM_199453	216939_s_at	human
3361	Hs.65791	NM_024012	221362_at	human
3362	Hs.22180	NM_000871		human
3363	Hs.73739	NM_000872	207818_s_at	human
3363	Hs.73739	NM_000872	216098_s_at	human
3363	Hs.73739	NM_019859	207818_s_at	human
3363	Hs.73739	NM_019859	207927_at	human
3363	Hs.73739	NM_019859	216098_s_at	human
3363	Hs.73739	NM_019860	207818_s_at	human
3363	Hs.73739	NM_019860	216098_s_at	human
3364	Hs.152983	NM_004507	204883_s_at	human
3364	Hs.152983	NM_004507	204884_s_at	human
3364	Hs.152983	NM_004507	217618_x_at	human
3371	Hs.143250	NM_002160	201645_at	human
3373	Hs.75619	NM_007312	210619_s_at	human
3373	Hs.75619	NM_033159	210619_s_at	human
3373	Hs.75619	NM_153281	210619_s_at	human
3373	Hs.75619	NM_153282		human
3373	Hs.75619	NM_153283	210619_s_at	human
3373	Hs.75619	NM_153285		human
3375	Hs.46835	NM_000415	207062_at	human
3376	Hs.445403	NM_002161	204744_s_at	human
3376	Hs.445403	NM_013417	204744_s_at	human
3381	Hs.518726	NM_004967	207370_at	human
3382	Hs.487561	NM_001136020	204002_s_at	human
3382	Hs.487561	NM_001136020	207949_s_at	human
3382	Hs.487561	NM_001136020	210547_x_at	human
3382	Hs.487561	NM_004968	204002_s_at	human
3382	Hs.487561	NM_004968	207949_s_at	human
3382	Hs.487561	NM_004968	210547_x_at	human
3382	Hs.487561	NM_022307	204002_s_at	human
3382	Hs.487561	NM_022307	207949_s_at	human
3382	Hs.487561	NM_022307	210547_x_at	human
3383	Hs.643447	NM_000201	202637_s_at	human
3383	Hs.643447	NM_000201	202638_s_at	human
3383	Hs.643447	NM_000201	215485_s_at	human
3384	Hs.431460	NM_000873	204683_at	human
3384	Hs.431460	NM_000873	213620_s_at	human
3384	Hs.431460	NM_001099786	204683_at	human
3384	Hs.431460	NM_001099786	213620_s_at	human
3384	Hs.431460	NM_001099787	204683_at	human
3384	Hs.431460	NM_001099787	213620_s_at	human
3384	Hs.431460	NM_001099788	204683_at	human
3384	Hs.431460	NM_001099788	213620_s_at	human
3384	Hs.431460	NM_001099789	204683_at	human
3384	Hs.431460	NM_001099789	213620_s_at	human
3385		NM_002162	204949_at	human
3386		NM_001039132	207194_s_at	human
3386		NM_001544	207194_s_at	human
3386		NM_022377	207194_s_at	human
3394	Hs.137427	NM_002163	204057_at	human
3396	Hs.407955	NM_001545	204868_at	human
3397	Hs.504609	NM_002165	208937_s_at	human
3397	Hs.504609	NM_181353	208937_s_at	human
3398	Hs.180919	NM_002166	201565_s_at	human
3399	Hs.76884	NM_002167	207826_s_at	human
3400	Hs.519601	NM_001546	209291_at	human
3400	Hs.519601	NM_001546	209292_at	human
3400	Hs.519601	NM_001546	209293_x_at	human
3416	Hs.500546	NM_001165946	203327_at	human
3416	Hs.500546	NM_001165946	203328_x_at	human
3416	Hs.500546	NM_001165946	217496_s_at	human
3416	Hs.500546	NM_004969	203327_at	human
3416	Hs.500546	NM_004969	203328_x_at	human
3416	Hs.500546	NM_004969	217496_s_at	human
3417	Hs.593422	NM_005896	201193_at	human
3417		NM_005896	201193_at	human
3418	Hs.596461	NM_002168	210045_at	human
3418	Hs.596461	NM_002168	210046_s_at	human
3419	Hs.591110	NM_005530	202069_s_at	human
3419	Hs.591110	NM_005530	202070_s_at	human
3420	Hs.436405	NM_006899	201509_at	human
3420	Hs.436405	NM_006899	210014_x_at	human
3420	Hs.436405	NM_006899	210418_s_at	human
3420	Hs.436405	NM_174855	210014_x_at	human
3420	Hs.436405	NM_174855	210418_s_at	human
3420	Hs.436405	NM_174856	201509_at	human
3420	Hs.436405	NM_174856	210014_x_at	human
3420	Hs.436405	NM_174856	210418_s_at	human
3421	Hs.410197	NM_004135	202471_s_at	human
3421	Hs.410197	NM_174869	202471_s_at	human
3421	Hs.410197	NM_174869	214333_x_at	human
3422	Hs.283652	NM_004508	204615_x_at	human
3422	Hs.283652	NM_004508	208881_x_at	human
3422		NM_004508	204615_x_at	human
3422		NM_004508	208881_x_at	human
3423	Hs.460960	NM_000202	202438_x_at	human
3423	Hs.460960	NM_000202	202439_s_at	human
3423	Hs.460960	NM_000202	206342_x_at	human
3423	Hs.460960	NM_000202	212221_x_at	human
3423	Hs.460960	NM_000202	212223_at	human
3423	Hs.460960	NM_000202	217432_s_at	human
3423	Hs.460960	NM_001166550	202438_x_at	human
3423	Hs.460960	NM_001166550	202439_s_at	human
3423	Hs.460960	NM_001166550	206342_x_at	human
3423	Hs.460960	NM_001166550	212221_x_at	human
3423	Hs.460960	NM_001166550	212223_at	human
3423	Hs.460960	NM_001166550	217432_s_at	human
3423	Hs.460960	NM_006123	206342_x_at	human
3423	Hs.460960	NM_006123	217432_s_at	human
3425	Hs.89560	NM_000203	205057_s_at	human
3425	Hs.89560	NM_000203	205059_s_at	human
3426	Hs.312485	NM_000204	203854_at	human
3428	Hs.380250	NM_005531	206332_s_at	human
3428	Hs.380250	NM_005531	208965_s_at	human
3428	Hs.380250	NM_005531	208966_x_at	human
3429	Hs.532634	NM_001130080	202411_at	human
3429	Hs.532634	NM_005532	202411_at	human
3430	Hs.632258	NM_005533	209417_s_at	human
3431	Hs.145150	NM_004509	209761_s_at	human
3431	Hs.145150	NM_004510	208012_x_at	human
3431	Hs.145150	NM_004510	209761_s_at	human
3431	Hs.145150	NM_004510	209762_x_at	human
3431	Hs.145150	NM_080424	208012_x_at	human
3431	Hs.145150	NM_080424	208392_x_at	human
3431	Hs.145150	NM_080424	209761_s_at	human
3433	Hs.437609	NM_001547	217502_at	human
3434	Hs.20315	NM_001548	203153_at	human
3437		NM_001031683	204747_at	human
3437		NM_001549	204747_at	human
3439	Hs.370262	NM_024013	208344_x_at	human
3439	Hs.370262	NM_024013	208375_at	human
3440	Hs.211575	NM_000605	211338_at	human
3441	Hs.15106	NM_021068	207964_x_at	human
3441	Hs.15106	NM_021068	208261_x_at	human
3442	Hs.37113	NM_002169	214569_at	human
3443	Hs.533470	NM_021002	208548_at	human
3444	Hs.282274	NM_021057	207964_x_at	human
3444	Hs.282274	NM_021057	208182_x_at	human
3444	Hs.282274	NM_021057	208259_x_at	human
3444	Hs.282274	NM_021057	208448_x_at	human
3445	Hs.73890	NM_002170	207932_at	human
3446	Hs.282275	NM_002171	207964_x_at	human
3446	Hs.282275	NM_002171	208261_x_at	human
3446	Hs.282275	NM_002171	211405_x_at	human
3447	Hs.533471	NM_006900	208344_x_at	human
3448	Hs.93907	NM_002172	208182_x_at	human
3449	Hs.56303	NM_002173	208182_x_at	human
3449	Hs.56303	NM_002173	208448_x_at	human
3451	Hs.282276	NM_021268	207964_x_at	human
3451	Hs.282276	NM_021268	211405_x_at	human
3452	Hs.113211	NM_002175	211145_x_at	human
3454	Hs.529400	NM_000629	204191_at	human
3455		NM_000874	204785_x_at	human
3455		NM_000874	204786_s_at	human
3455		NM_207584	204785_x_at	human
3455		NM_207584	204786_s_at	human
3455		NM_207585	204786_s_at	human
3456	Hs.93177	NM_002176	208173_at	human
3458	Hs.85603	NM_000619	210354_at	human
3459	Hs.520414	NM_000416	202727_s_at	human
3459	Hs.520414	NM_000416	211676_s_at	human
3460	Hs.634632	NM_005534	201642_at	human
3467	Hs.73010	NM_002177	207817_at	human
3475	Hs.7879	NM_001007245	202146_at	human
3475	Hs.7879	NM_001007245	202147_s_at	human
3475	Hs.7879	NM_001550	202146_at	human
3475	Hs.7879	NM_001550	202147_s_at	human
3476	Hs.496267	NM_001551	202105_at	human
3479	Hs.160562	NM_000618	209540_at	human
3479	Hs.160562	NM_000618	209541_at	human
3479	Hs.160562	NM_000618	209542_x_at	human
3479	Hs.160562	NM_000618	211577_s_at	human
3479	Hs.160562	NM_001111283	209540_at	human
3479	Hs.160562	NM_001111283	209541_at	human
3479	Hs.160562	NM_001111283	209542_x_at	human
3479	Hs.160562	NM_001111283	211577_s_at	human
3479	Hs.160562	NM_001111284	209540_at	human
3479	Hs.160562	NM_001111284	209541_at	human
3479	Hs.160562	NM_001111284	209542_x_at	human
3479	Hs.160562	NM_001111284	211577_s_at	human
3479	Hs.160562	NM_001111285	209542_x_at	human
3479	Hs.160562	NM_001111285	211577_s_at	human
3480	Hs.643120	NM_000875	203627_at	human
3480	Hs.643120	NM_000875	203628_at	human
3480		NM_000875	203627_at	human
3480		NM_000875	203628_at	human
3481	Hs.272259	NM_000612	202409_at	human
3481	Hs.272259	NM_000612	202410_x_at	human
3481	Hs.272259	NM_000612	210881_s_at	human
3481	Hs.272259	NM_001007139	202409_at	human
3481	Hs.272259	NM_001007139	202410_x_at	human
3481	Hs.272259	NM_001007139	210881_s_at	human
3481	Hs.272259	NM_001127598	202409_at	human
3481	Hs.272259	NM_001127598	202410_x_at	human
3481	Hs.272259	NM_001127598	210881_s_at	human
3481		NM_000612	202409_at	human
3481		NM_000612	202410_x_at	human
3481		NM_000612	210881_s_at	human
3481		NM_001007139	202409_at	human
3481		NM_001007139	202410_x_at	human
3481		NM_001007139	210881_s_at	human
3481		NM_001127598	202409_at	human
3481		NM_001127598	202410_x_at	human
3481		NM_001127598	210881_s_at	human
3482	Hs.487062	NM_000876	201392_s_at	human
3482	Hs.487062	NM_000876	201393_s_at	human
3483	Hs.83916	NM_001146006	215712_s_at	human
3483	Hs.83916	NM_004970	215712_s_at	human
3483	Hs.83916	NR_027389		human
3484	Hs.642938	NM_000596	205302_at	human
3485	Hs.438102	NM_000597	202718_at	human
3486	Hs.450230	NM_000598	210095_s_at	human
3486	Hs.450230	NM_000598	212143_s_at	human
3486	Hs.450230	NM_001013398	210095_s_at	human
3486	Hs.450230	NM_001013398	212143_s_at	human
3486		NM_000598	210095_s_at	human
3486		NM_000598	212143_s_at	human
3486		NM_001013398	210095_s_at	human
3486		NM_001013398	212143_s_at	human
3487	Hs.462998	NM_001552	201508_at	human
3488	Hs.607212	NM_000599	203424_s_at	human
3488	Hs.607212	NM_000599	203425_s_at	human
3488	Hs.607212	NM_000599	203426_s_at	human
3488	Hs.607212	NM_000599	211958_at	human
3488	Hs.607212	NM_000599	211959_at	human
3489	Hs.274313	NM_002178	203851_at	human
3490	Hs.479808	NM_001553	201162_at	human
3490	Hs.479808	NM_001553	201163_s_at	human
3491	Hs.8867	NM_001554	201289_at	human
3491	Hs.8867	NM_001554	210764_s_at	human
3492	Hs.510635	XM_001718220		human
3492		XM_001718220		human
3508	Hs.503048	NM_002180	215980_s_at	human
3508	Hs.503048	NM_002180	31861_at	human
3512	Hs.643431	NM_144646	212592_at	human
3512		NM_144646	212592_at	human
3516	Hs.479396	NM_005349	211974_x_at	human
3516	Hs.479396	NM_015874	211974_x_at	human
3516	Hs.479396	NM_203283	207785_s_at	human
3516	Hs.479396	NM_203283	211974_x_at	human
3516	Hs.479396	NM_203284	207785_s_at	human
3516	Hs.479396	NM_203284	211974_x_at	human
3543	Hs.348935	NM_020070	206660_at	human
3543	Hs.348935	NM_152855		human
3547	Hs.22111	NM_001555	207695_s_at	human
3547	Hs.22111	NM_205833		human
3549		NM_002181	215420_at	human
3550	Hs.421245	NM_006083	200066_at	human
3551	Hs.597664	NM_001556	209341_s_at	human
3551	Hs.597664	NM_001556	209342_s_at	human
3551	Hs.597664	NM_001556	211027_s_at	human
3552	Hs.1722	NM_000575	210118_s_at	human
3553	Hs.126256	NM_000576	205067_at	human
3553	Hs.126256	NM_000576	39402_at	human
3554		NM_000877	202948_at	human
3554		NM_000877	215561_s_at	human
3556	Hs.478673	NM_001167928	205227_at	human
3556	Hs.478673	NM_001167929	205227_at	human
3556	Hs.478673	NM_001167930	210233_at	human
3556	Hs.478673	NM_001167931		human
3556	Hs.478673	NM_002182	205227_at	human
3556	Hs.478673	NM_134470	210233_at	human
3557	Hs.81134	NM_000577	212657_s_at	human
3557	Hs.81134	NM_000577	212659_s_at	human
3557	Hs.81134	NM_000577	216243_s_at	human
3557	Hs.81134	NM_173841	212657_s_at	human
3557	Hs.81134	NM_173841	212659_s_at	human
3557	Hs.81134	NM_173841	216243_s_at	human
3557	Hs.81134	NM_173842	212657_s_at	human
3557	Hs.81134	NM_173842	212659_s_at	human
3557	Hs.81134	NM_173842	216243_s_at	human
3557	Hs.81134	NM_173843	212657_s_at	human
3557	Hs.81134	NM_173843	212659_s_at	human
3557	Hs.81134	NM_173843	216243_s_at	human
3557	Hs.81134	NM_173843	216244_at	human
3558	Hs.89679	NM_000586	207849_at	human
3559	Hs.231367	NM_000417	206341_at	human
3559	Hs.231367	NM_000417	211269_s_at	human
3560	Hs.474787	NM_000878	205291_at	human
3561	Hs.84084	NM_000206	204116_at	human
3562		NM_000588	207906_at	human
3563	Hs.632790	NM_002183	206148_at	human
3565	Hs.73917	NM_000589	207538_at	human
3565	Hs.73917	NM_000589	207539_s_at	human
3565	Hs.73917	NM_172348	207539_s_at	human
3566	Hs.513457	NM_000418	203233_at	human
3566	Hs.513457	NM_001008699		human
3567	Hs.224764	NM_000879	207952_at	human
3568	Hs.68876	NM_000564	207902_at	human
3568	Hs.68876	NM_000564	210744_s_at	human
3568	Hs.68876	NM_000564	211517_s_at	human
3568	Hs.68876	NM_175724	210744_s_at	human
3568	Hs.68876	NM_175724	211516_at	human
3568	Hs.68876	NM_175724	211517_s_at	human
3568	Hs.68876	NM_175725	210744_s_at	human
3568	Hs.68876	NM_175725	211517_s_at	human
3568	Hs.68876	NM_175726	207902_at	human
3568	Hs.68876	NM_175726	210744_s_at	human
3568	Hs.68876	NM_175726	211517_s_at	human
3568	Hs.68876	NM_175727	210744_s_at	human
3568	Hs.68876	NM_175727	211516_at	human
3568	Hs.68876	NM_175727	211517_s_at	human
3568	Hs.68876	NM_175728	210744_s_at	human
3568	Hs.68876	NM_175728	211517_s_at	human
3569		NM_000600	205207_at	human
3570		NM_000565	205945_at	human
3570		NM_000565	217489_s_at	human
3570		NM_181359	205945_at	human
3570		NM_181359	217489_s_at	human
3572	Hs.532082	NM_002184	204863_s_at	human
3572	Hs.532082	NM_002184	204864_s_at	human
3572	Hs.532082	NM_002184	211000_s_at	human
3572	Hs.532082	NM_002184	212195_at	human
3572	Hs.532082	NM_002184	212196_at	human
3572	Hs.532082	NM_175767	204863_s_at	human
3572	Hs.532082	NM_175767	204864_s_at	human
3572	Hs.532082	NM_175767	211000_s_at	human
3572	Hs.532082	NM_175767	212195_at	human
3572	Hs.532082	NM_175767	212196_at	human
3574	Hs.591873	NM_000880	206693_at	human
3575	Hs.591742	NM_002185	205798_at	human
3575	Hs.635723	NM_002185	205798_at	human
3576	Hs.624002	NM_000584	202859_x_at	human
3576	Hs.624002	NM_000584	211506_s_at	human
3577	Hs.194778	NM_000634	207094_at	human
3578	Hs.960	NM_000590	208193_at	human
3579	Hs.84665	NM_001168298	207008_at	human
3579	Hs.84665	NM_001557	207008_at	human
3580	Hs.647858	NR_002712		human
3581	Hs.406228	NM_002186	208164_s_at	human
3581	Hs.406228	NM_002186	217212_s_at	human
3581	Hs.406228	NR_024033		human
3586	Hs.193717	NM_000572	207433_at	human
3587	Hs.504035	NM_001558	204912_at	human
3587	Hs.504035	NR_026691		human
3588		NM_000628	209575_at	human
3589	Hs.467304	NM_000641	206924_at	human
3589	Hs.467304	NM_000641	206926_s_at	human
3590	Hs.591088	NM_001142784	203179_at	human
3590	Hs.591088	NM_001142784	204773_at	human
3590	Hs.591088	NM_004512	203179_at	human
3590	Hs.591088	NM_004512	204773_at	human
3590	Hs.591088	NM_147162		human
3592		NM_000882	207160_at	human
3593		NM_002187	207901_at	human
3594	Hs.567294	NM_005535	206890_at	human
3594	Hs.567294	NM_153701		human
3595	Hs.479347	NM_001559	206999_at	human
3596	Hs.8453	NM_002188	207844_at	human
3597	Hs.496646	NM_001560	201887_at	human
3597	Hs.496646	NM_001560	201888_s_at	human
3597	Hs.496646	NM_001560	210904_s_at	human
3597	Hs.496646	NM_001560	211612_s_at	human
3598	Hs.336046	NM_000640	206172_at	human
3600		NM_000585	205992_s_at	human
3600		NM_000585	217371_s_at	human
3600		NM_172174		human
3601	Hs.524117	NM_002189	207375_s_at	human
3601	Hs.524117	NM_172200	207375_s_at	human
3603	Hs.459095	NM_004513	209827_s_at	human
3603	Hs.459095	NM_004513	209828_s_at	human
3603	Hs.459095	NM_172217	209827_s_at	human
3603	Hs.459095	NM_172217	209828_s_at	human
3604		NM_001561	207536_s_at	human
3604		NM_001561	211786_at	human
3605	Hs.41724	NM_002190	208402_at	human
3605	Hs.41724	NM_002190	216876_s_at	human
3606	Hs.83077	NM_001562	206295_at	human
3607	Hs.591140	NM_004514	203064_s_at	human
3608	Hs.75117	NM_004515	200052_s_at	human
3609	Hs.465885	NM_001137673	208930_s_at	human
3609	Hs.465885	NM_001137673	208931_s_at	human
3609	Hs.465885	NM_004516	208930_s_at	human
3609	Hs.465885	NM_004516	208931_s_at	human
3609	Hs.465885	NM_012218	208930_s_at	human
3609	Hs.465885	NM_012218	211375_s_at	human
3609	Hs.465885	NM_012218	217804_s_at	human
3609	Hs.465885	NM_012218	217805_at	human
3609	Hs.465885	NM_017620	208930_s_at	human
3609	Hs.465885	NM_017620	211375_s_at	human
3609	Hs.465885	NM_017620	217804_s_at	human
3609	Hs.465885	NM_017620	217805_at	human
3609	Hs.465885	NM_153464	208930_s_at	human
3609	Hs.465885	NM_153464	208931_s_at	human
3611	Hs.515802	NM_001014794	201234_at	human
3611	Hs.515802	NM_001014795	201234_at	human
3611	Hs.515802	NM_004517	201234_at	human
3611		NM_001014794	201234_at	human
3611		NM_001014795	201234_at	human
3611		NM_004517	201234_at	human
3612		NM_001144878		human
3612		NM_001144879		human
3612		NM_005536	203011_at	human
3613	Hs.367992	NM_014214	203126_at	human
3614		NM_000883	204169_at	human
3614		NM_001102605	204169_at	human
3614		NM_001142573	204169_at	human
3614		NM_001142574	204169_at	human
3614		NM_001142575	204169_at	human
3614		NM_001142576	204169_at	human
3614		NM_183243	204169_at	human
3615		NM_000884	201892_s_at	human
3617	Hs.590893	NM_001563	207054_at	human
3619	Hs.142179	NM_001040694	219769_at	human
3619	Hs.142179	NM_020238	219769_at	human
3620		NM_002164	210029_at	human
3621	Hs.46700	NM_005537	208415_x_at	human
3621	Hs.46700	NM_005537	209808_x_at	human
3621	Hs.46700	NM_005537	210350_x_at	human
3621	Hs.46700	NM_198217	209808_x_at	human
3621	Hs.46700	NM_198217	210350_x_at	human
3621	Hs.46700	NM_198218	209808_x_at	human
3621	Hs.46700	NM_198218	210350_x_at	human
3621	Hs.46700	NM_198219	208415_x_at	human
3621	Hs.46700	NM_198219	209808_x_at	human
3621	Hs.46700	NM_198219	210350_x_at	human
3621		NM_005537	208415_x_at	human
3621		NM_005537	209808_x_at	human
3621		NM_005537	210350_x_at	human
3621		NM_198217	209808_x_at	human
3621		NM_198217	210350_x_at	human
3621		NM_198218	209808_x_at	human
3621		NM_198218	210350_x_at	human
3621		NM_198219	208415_x_at	human
3621		NM_198219	209808_x_at	human
3621		NM_198219	210350_x_at	human
3622	Hs.107153	NM_001564	205981_s_at	human
3623	Hs.407506	NM_002191	210141_s_at	human
3624	Hs.583348	NM_002192	204926_at	human
3624	Hs.583348	NM_002192	210511_s_at	human
3625	Hs.173524	NM_002193	205258_at	human
3626	Hs.632722	NM_005538	207687_at	human
3627	Hs.632586	NM_001565	204533_at	human
3628	Hs.32309	NM_001128928	202794_at	human
3628	Hs.32309	NM_002194	202794_at	human
3630		NM_000207	206598_at	human
3631	Hs.469386	NM_001134224	204552_at	human
3631	Hs.469386	NM_001134224	204553_x_at	human
3631	Hs.469386	NM_001134224	208363_s_at	human
3631	Hs.469386	NM_001134225	204552_at	human
3631	Hs.469386	NM_001134225	204553_x_at	human
3631	Hs.469386	NM_001134225	208363_s_at	human
3631	Hs.469386	NM_001566	204553_x_at	human
3631	Hs.469386	NM_001566	208363_s_at	human
3631	Hs.469386	NM_001566	208364_at	human
3631	Hs.469386	NM_004027	204552_at	human
3631	Hs.469386	NM_004027	204553_x_at	human
3631	Hs.469386	NM_004027	208363_s_at	human
3632	Hs.523360	NM_005539	203006_at	human
3632		NM_005539	203006_at	human
3633	Hs.449942	NM_005540	213643_s_at	human
3633	Hs.449942	NM_005540	213804_at	human
3635	Hs.262886	NM_001017915	203331_s_at	human
3635	Hs.262886	NM_001017915	203332_s_at	human
3635	Hs.262886	NM_005541	203331_s_at	human
3635	Hs.262886	NM_005541	203332_s_at	human
3635	Hs.601911	NM_001017915	203331_s_at	human
3635	Hs.601911	NM_001017915	203332_s_at	human
3635	Hs.601911	NM_005541	203331_s_at	human
3635	Hs.601911	NM_005541	203332_s_at	human
3636	Hs.523875	NM_001567	201598_s_at	human
3638	Hs.520819	NM_005542	201625_s_at	human
3638	Hs.520819	NM_005542	201626_at	human
3638	Hs.520819	NM_005542	201627_s_at	human
3638	Hs.520819	NM_198336	201625_s_at	human
3638	Hs.520819	NM_198336	201626_at	human
3638	Hs.520819	NM_198336	201627_s_at	human
3638	Hs.520819	NM_198337	201625_s_at	human
3640	Hs.37062	NM_005543	214400_at	human
3640	Hs.37062	NM_005543	214572_s_at	human
3641	Hs.418506	NM_002195	206549_at	human
3642	Hs.89584	NM_002196	206502_s_at	human
3643	Hs.465744	NM_000208	207851_s_at	human
3643	Hs.465744	NM_000208	213792_s_at	human
3643	Hs.465744	NM_001079817	207851_s_at	human
3643	Hs.465744	NM_001079817	213792_s_at	human
3645	Hs.248138	NM_014215	215776_at	human
3646		NM_001568	208697_s_at	human
3651	Hs.32938	NM_000209	210937_s_at	human
3651	Hs.32938	NM_000209	210938_at	human
3652		NM_001145349		human
3652		NM_005897	219843_at	human
3653	Hs.555970	NR_023915		human
3654	Hs.522819	NM_001025242		human
3654	Hs.522819	NM_001025243	201587_s_at	human
3654	Hs.522819	NM_001569	201587_s_at	human
3655	Hs.133397	NM_000210	201656_at	human
3655	Hs.133397	NM_000210	215177_s_at	human
3655	Hs.133397	NM_001079818	201656_at	human
3655	Hs.133397	NM_001079818	215177_s_at	human
3656	Hs.449207	NM_001570		human
3658	Hs.436031	NM_004136	214666_x_at	human
3659	Hs.436061	NM_002198	202531_at	human
3660		NM_002199	203275_at	human
3661	Hs.75254	NM_001571	202621_at	human
3662	Hs.401013	NM_002460	204562_at	human
3662	Hs.401013	NM_002460	216986_s_at	human
3663	Hs.521181	NM_001098627	205468_s_at	human
3663	Hs.521181	NM_001098627	205469_s_at	human
3663	Hs.521181	NM_001098628		human
3663	Hs.521181	NM_001098629	205468_s_at	human
3663	Hs.521181	NM_001098630	205468_s_at	human
3663	Hs.521181	NM_001098630	205469_s_at	human
3663	Hs.521181	NM_001098631		human
3663	Hs.521181	NM_002200		human
3663	Hs.521181	NM_032643	205468_s_at	human
3663	Hs.521181	NM_032643	205469_s_at	human
3664		NM_006147	202597_at	human
3665	Hs.166120	NM_001572	208436_s_at	human
3665	Hs.166120	NM_004029	208436_s_at	human
3665	Hs.166120	NM_004031	208436_s_at	human
3667	Hs.471508	NM_005544	204686_at	human
3669	Hs.459265	NM_002201	204698_at	human
3669	Hs.459265	NM_002201	33304_at	human
3670	Hs.505004	NM_002202	206104_at	human
3671		NM_005545	207191_s_at	human
3671		NM_201526	207191_s_at	human
3672	Hs.644352	NM_181501	214660_at	human
3673	Hs.482077	NM_002203	205032_at	human
3674	Hs.411312	NM_000419	206493_at	human
3674	Hs.411312	NM_000419	206494_s_at	human
3674	Hs.411312	NM_000419	216956_s_at	human
3675	Hs.265829	NM_002204		human
3675	Hs.265829	NM_005501		human
3676	Hs.440955	NM_000885	205884_at	human
3676	Hs.440955	NM_000885	205885_s_at	human
3678	Hs.505654	NM_002205	201389_at	human
3679	Hs.524484	NM_001144996	209663_s_at	human
3679	Hs.524484	NM_001144996	216331_at	human
3679	Hs.524484	NM_001144997	209663_s_at	human
3679	Hs.524484	NM_001144997	216331_at	human
3679	Hs.524484	NM_002206	209663_s_at	human
3679	Hs.524484	NM_002206	216331_at	human
3680	Hs.113157	NM_002207	206009_at	human
3681		NM_005353		human
3682	Hs.513867	NM_002208	205055_at	human
3683	Hs.174103	NM_001114380	213475_s_at	human
3683	Hs.174103	NM_002209	213475_s_at	human
3684	Hs.172631	NM_000632	205786_s_at	human
3684	Hs.172631	NM_001145808	205786_s_at	human
3685	Hs.436873	NM_001144999	202351_at	human
3685	Hs.436873	NM_002210	202351_at	human
3687	Hs.248472	NM_000887	210184_at	human
3688	Hs.643813	NM_002211	211945_s_at	human
3688	Hs.643813	NM_033666		human
3688	Hs.643813	NM_033667		human
3688	Hs.643813	NM_033668	211945_s_at	human
3688	Hs.643813	NM_033669		human
3688	Hs.643813	NM_133376	211945_s_at	human
3689	Hs.375957	NM_000211	202803_s_at	human
3689	Hs.375957	NM_001127491	202803_s_at	human
3690	Hs.218040	NM_000212	204625_s_at	human
3690	Hs.218040	NM_000212	204626_s_at	human
3690	Hs.218040	NM_000212	204627_s_at	human
3690	Hs.218040	NM_000212	204628_s_at	human
3691	Hs.632226	NM_000213	204989_s_at	human
3691	Hs.632226	NM_000213	204990_s_at	human
3691	Hs.632226	NM_000213	211905_s_at	human
3691	Hs.632226	NM_001005619	204989_s_at	human
3691	Hs.632226	NM_001005619	204990_s_at	human
3691	Hs.632226	NM_001005619	211905_s_at	human
3691	Hs.632226	NM_001005619	214292_at	human
3691	Hs.632226	NM_001005731	204989_s_at	human
3691	Hs.632226	NM_001005731	204990_s_at	human
3691	Hs.632226	NM_001005731	211905_s_at	human
3692		NM_002212	210213_s_at	human
3692		NM_181466	210213_s_at	human
3692		NM_181468	210213_s_at	human
3693	Hs.536663	NM_002213	201124_at	human
3693	Hs.536663	NM_002213	201125_s_at	human
3694	Hs.470399	NM_000888	208083_s_at	human
3694	Hs.470399	NM_000888	208084_at	human
3695		NM_000889	205718_at	human
3696	Hs.592171	NM_002214	205816_at	human
3696	Hs.592171	NM_002214	211488_s_at	human
3697	Hs.420257	NM_001166434	210888_s_at	human
3697	Hs.420257	NM_001166435	210888_s_at	human
3697	Hs.420257	NM_001166436	210888_s_at	human
3697	Hs.420257	NM_002215	210888_s_at	human
3698	Hs.75285	NM_002216	204987_at	human
3699		NM_002217	205755_at	human
3700		NM_001166449	206287_s_at	human
3700		NM_001166449	37201_at	human
3700		NM_002218	206287_s_at	human
3700		NM_002218	37201_at	human
3702	Hs.558348	NM_005546	211339_s_at	human
3703	Hs.504237	NM_152713	202223_at	human
3704	Hs.415299	NM_033453	209171_at	human
3704	Hs.415299	NM_181493	209171_at	human
3705	Hs.308122	NM_001142593	210740_s_at	human
3705	Hs.308122	NM_001142594	210197_at	human
3705	Hs.308122	NM_014216	210740_s_at	human
3706		NM_002220	205874_at	human
3707	Hs.528087	NM_002221	203723_at	human
3707		NM_002221	203723_at	human
